zipcode,city,state,latitude,longitude,timezone,dst
210,"Portsmouth","NH",43.01,-71.01,-5,1
211,"Portsmouth","NH",43.01,-71.01,-5,1
212,"Portsmouth","NH",43.01,-71.01,-5,1
213,"Portsmouth","NH",43.01,-71.01,-5,1
214,"Portsmouth","NH",43.01,-71.01,-5,1
215,"Portsmouth","NH",43.01,-71.01,-5,1
501,"Holtsville","NY",40.92,-72.64,-5,1
544,"Holtsville","NY",40.92,-72.64,-5,1
601,"Adjuntas","PR",18.18,-66.75,-4,0
602,"Aguada","PR",18.36,-67.18,-4,0
603,"Aguadilla","PR",18.45,-67.13,-4,0
604,"Aguadilla","PR",18.5,-67.14,-4,0
605,"Aguadilla","PR",18.47,-67.14,-4,0
606,"Maricao","PR",18.18,-66.96,-4,0
607,"Aguas Buenas","PR",18.26,-66.1,-4,0
609,"Aibonito","PR",18.14,-66.27,-4,0
610,"Anasco","PR",18.29,-67.14,-4,0
611,"Angeles","PR",18.28,-66.8,-4,0
612,"Arecibo","PR",18.45,-66.7,-4,0
613,"Arecibo","PR",18.46,-66.73,-4,0
614,"Arecibo","PR",18.43,-66.67,-4,0
615,"Arroyo","PR",17.97,-66.06,-4,0
616,"Bajadero","PR",18.43,-66.68,-4,0
617,"Barceloneta","PR",18.46,-66.56,-4,0
618,"Barranquitas","PR",18.19,-66.31,-4,0
622,"Boqueron","PR",18,-67.17,-4,0
623,"Cabo Rojo","PR",18.09,-67.15,-4,0
624,"Penuelas","PR",18.06,-66.73,-4,0
625,"Caguas","PR",18.23,-66.04,-4,0
626,"Caguas","PR",18.24,-66.04,-4,0
627,"Camuy","PR",18.44,-66.86,-4,0
631,"Castaner","PR",18.19,-66.85,-4,0
633,"Cayey","PR",18.19,-66.18,-4,0
634,"Cayey","PR",18.11,-66.18,-4,0
635,"Ceiba","PR",18.26,-65.65,-4,0
636,"Rosario","PR",18.11,-67.04,-4,0
637,"Sabana Grande","PR",18.07,-66.95,-4,0
638,"Ciales","PR",18.31,-66.5,-4,0
639,"Cidra","PR",18.18,-66.16,-4,0
640,"Coamo","PR",18.08,-66.36,-4,0
641,"Utuado","PR",18.27,-66.71,-4,0
643,"Corozal","PR",18.34,-66.32,-4,0
644,"Coto Laurel","PR",18.05,-66.55,-4,0
645,"Culebra","PR",18.31,-65.3,-4,0
646,"Dorado","PR",18.44,-66.28,-4,0
647,"Ensenada","PR",17.96,-66.94,-4,0
648,"Fajardo","PR",18.33,-65.66,-4,0
650,"Florida","PR",18.36,-66.57,-4,0
652,"Garrochales","PR",18.46,-66.61,-4,0
653,"Guanica","PR",17.99,-66.9,-4,0
654,"Jobos","PR",17.98,-66.12,-4,0
655,"Olimpo","PR",17.98,-66.12,-4,0
656,"Guayanilla","PR",18.04,-66.79,-4,0
658,"Gurabo","PR",18.25,-65.97,-4,0
659,"Hatillo","PR",18.43,-66.8,-4,0
660,"Hormigueros","PR",18.14,-67.12,-4,0
661,"Humacao","PR",18.15,-65.83,-4,0
662,"Isabela","PR",18.48,-67.02,-4,0
664,"Jayuya","PR",18.21,-66.59,-4,0
665,"Ponce","PR",18.04,-66.5,-4,0
666,"Juncos","PR",18.23,-65.92,-4,0
667,"Lajas","PR",18.02,-67.04,-4,0
669,"Lares","PR",18.29,-66.88,-4,0
670,"Las Marias","PR",18.24,-66.98,-4,0
671,"Las Piedras","PR",18.18,-65.87,-4,0
674,"Manati","PR",18.43,-66.49,-4,0
676,"Moca","PR",18.38,-67.08,-4,0
677,"Rincon","PR",18.34,-67.24,-4,0
678,"Quebradillas","PR",18.44,-66.93,-4,0
680,"Mayaguez","PR",18.21,-67.13,-4,0
681,"Mayaguez","PR",18.22,-67.51,-4,0
682,"Mayaguez","PR",18.21,-67.15,-4,0
683,"San German","PR",18.09,-67.05,-4,0
685,"San Sebastian","PR",18.33,-66.98,-4,0
687,"Morovis","PR",18.32,-66.42,-4,0
688,"Sabana Hoyos","PR",18.4,-66.61,-4,0
690,"San Antonio","PR",18.5,-67.1,-4,0
692,"Vega Alta","PR",18.42,-66.33,-4,0
693,"Vega Baja","PR",18.44,-66.39,-4,0
694,"Vega Baja","PR",18.44,-66.4,-4,0
698,"Yauco","PR",18.07,-66.86,-4,0
703,"Aguas Buenas","PR",18.25,-66.13,-4,0
704,"Aguirre","PR",17.97,-66.22,-4,0
705,"Aibonito","PR",18.13,-66.27,-4,0
707,"Maunabo","PR",18.01,-65.91,-4,0
714,"Arroyo","PR",17.99,-66.06,-4,0
715,"Mercedita","PR",18,-66.56,-4,0
716,"Ponce","PR",18,-66.6,-4,0
717,"Ponce","PR",18,-66.61,-4,0
718,"Naguabo","PR",18.22,-65.74,-4,0
719,"Naranjito","PR",18.29,-66.25,-4,0
720,"Orocovis","PR",18.22,-66.42,-4,0
721,"Palmer","PR",18.36,-65.78,-4,0
723,"Patillas","PR",18.02,-66.01,-4,0
725,"Caguas","PR",18.23,-66.05,-4,0
726,"Caguas","PR",18.21,-66.06,-4,0
728,"Ponce","PR",18.01,-66.65,-4,0
729,"Canovanas","PR",18.36,-65.89,-4,0
730,"Ponce","PR",18.02,-66.62,-4,0
731,"Ponce","PR",18.08,-66.61,-4,0
732,"Ponce","PR",18.02,-66.61,-4,0
733,"Ponce","PR",18.02,-66.62,-4,0
734,"Ponce","PR",18,-66.64,-4,0
735,"Ceiba","PR",18.26,-65.66,-4,0
736,"Cayey","PR",18.11,-66.15,-4,0
737,"Cayey","PR",18.1,-66.14,-4,0
738,"Fajardo","PR",18.32,-65.66,-4,0
739,"Cidra","PR",18.17,-66.16,-4,0
740,"Puerto Real","PR",18.33,-65.63,-4,0
741,"Punta Santiago","PR",18.16,-65.76,-4,0
742,"Roosevelt Roads","PR",18.26,-65.59,-4,0
744,"Rio Blanco","PR",18.21,-65.74,-4,0
745,"Rio Grande","PR",18.37,-65.82,-4,0
747,"Lluveras","PR",18.07,-66.95,-4,0
748,"Fajardo","PR",18.33,-65.65,-4,0
751,"Salinas","PR",17.99,-66.27,-4,0
752,"San Antonio","PR",18.49,-67.1,-4,0
754,"San Lorenzo","PR",18.16,-65.97,-4,0
757,"Santa Isabel","PR",17.99,-66.39,-4,0
761,"Utuado","PR",18.27,-66.7,-4,0
762,"Vega Alta","PR",18.42,-66.32,-4,0
763,"Monserrate","PR",18.45,-66.4,-4,0
764,"Vega Baja","PR",18.45,-66.4,-4,0
765,"Vieques","PR",18.13,-65.46,-4,0
766,"Villalba","PR",18.13,-66.48,-4,0
767,"Yabucoa","PR",18.07,-65.9,-4,0
768,"Yauco","PR",18.03,-66.86,-4,0
